1,1
1,2
2,3
2,4
3,5
4,6
5,7
6,8
7,9
8,10
9,11
9,12
10,13
10,14
11,15
12,16
13,17
14,18
15,19
16,20
16,21
16,22
16,23
16,24
16,25
16,26
17,27
18,28
19,29
20,30
20,31
20,32
21,33
22,34
22,35
23,36
23,37
24,38
25,39
26,40
26,41
26,42
26,43
26,44
26,45
26,46
26,47
26,48
26,49
27,50
28,51
28,52
28,53
29,54
30,55
31,56
31,57
32,58
32,59
32,60
32,61
32,62
32,63
32,64
32,65
32,66
33,67
34,68
35,69
36,70
36,71
36,72
36,73
36,74
37,75
38,76
39,77
39,78
40,79
41,80
42,81
43,82
43,83
44,84
45,85
46,86
47,87
48,88
48,89
49,90
50,91
50,92
51,93
52,94
52,95
53,96
54,97
55,98
55,99
56,100
57,101
58,102
58,103
58,104
58,105
59,106
60,107
60,108
